id,sentence,ambiguous_word,correct_meaning,category,language,source
262,कल बहुत काम है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
263,कल मेला था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
264,कल मेला है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
265,परसों से छुट्टी शुरू होगी।,परसों,day_after_tomorrow,time_ambiguity,Hindi,custom_annotated
266,परसों उसका जन्मदिन था।,परसों,day_before_yesterday,time_ambiguity,Hindi,custom_annotated
267,परसों बहुत बारिश होगी।,परसों,day_after_tomorrow,time_ambiguity,Hindi,custom_annotated
268,अभी तक काम नहीं हुआ।,अभी,until_now,time_ambiguity,Hindi,custom_annotated
269,अभी निकलना होगा।,अभी,right_now,time_ambiguity,Hindi,custom_annotated
270,वह अभी-अभी सो गया।,अभी,just_now,time_ambiguity,Hindi,custom_annotated
271,अभी वक्त नहीं है।,अभी,right_now,time_ambiguity,Hindi,custom_annotated
272,कल का अखबार कहाँ है?,कल,yesterday,time_ambiguity,Hindi,custom_annotated
273,कल का अखबार आने दो।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
274,कल पार्टी में मज़ा आया।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
275,कल पार्टी में मज़ा आएगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
276,कल की मुलाकात यादगार थी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
277,कल की मुलाकात यादगार होगी।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
278,कल रात खाना नहीं खाया।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
279,कल रात खाना मत खाना।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
280,परसों की घटना याद है?,परसों,day_before_yesterday,time_ambiguity,Hindi,custom_annotated
281,परसों तक पहुँच जाऊंगा।,परसों,day_after_tomorrow,time_ambiguity,Hindi,custom_annotated
282,सोना बहुत ज़रूरी है शरीर के लिए।,सोना,sleep,object_action_ambiguity,Hindi,custom_annotated
283,उसने सोने की अंगूठी पहनी।,सोने,gold,object_action_ambiguity,Hindi,custom_annotated
284,सोना सस्ता नहीं होता।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
285,सोना छोड़कर उठो।,सोना,sleep,object_action_ambiguity,Hindi,custom_annotated
286,उसे सोने की आदत है।,सोने,sleeping_habit,object_action_ambiguity,Hindi,custom_annotated
287,माँ ने सोने दिया नहीं।,सोने,sleep,object_action_ambiguity,Hindi,custom_annotated
288,बाज़ार में सोना महंगा है।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
289,रात को जल्दी सोना चाहिए।,सोना,sleep,object_action_ambiguity,Hindi,custom_annotated
290,सोने का भाव क्या है?,सोने,gold_price,object_action_ambiguity,Hindi,custom_annotated
291,बच्चे को सोने दो।,सोने,sleep,object_action_ambiguity,Hindi,custom_annotated
292,उसके पास सोने का कड़ा है।,सोने,gold,object_action_ambiguity,Hindi,custom_annotated
293,ज़्यादा सोना भी नुकसानदेह है।,सोना,sleep,object_action_ambiguity,Hindi,custom_annotated
294,शादी में सोना देना रिवाज़ है।,सोना,gold,object_action_ambiguity,Hindi,custom_annotated
295,वह सोने में व्यस्त था।,सोने,sleeping,object_action_ambiguity,Hindi,custom_annotated
296,उसने सोने में निवेश किया।,सोने,gold,object_action_ambiguity,Hindi,custom_annotated
297,बैंक में नया खाता खुलवाया।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
298,बैंक की छुट्टी है आज।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
299,बैंक से पैसे निकालने हैं।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
300,नदी के बैंक पर पेड़ लगे थे।,बैंक,river_bank,place_ambiguity,Hindi,custom_annotated
301,बैंक पर बाढ़ का पानी आ गया।,बैंक,river_bank,place_ambiguity,Hindi,custom_annotated
302,बैंक बैलेंस कम हो गया।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
303,बैंक के किनारे झाड़ियाँ थीं।,बैंक,river_bank,place_ambiguity,Hindi,custom_annotated
304,बैंक ने लोन मंज़ूर किया।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
305,बैंक की शाखा बंद हो गई।,बैंक,financial_bank,place_ambiguity,Hindi,custom_annotated
306,बैंक पर मछुआरे बैठे थे।,बैंक,river_bank,place_ambiguity,Hindi,custom_annotated
307,"अर्जुन और कर्ण लड़े, वह जीत गया।",वह,unclear_arjun_or_karan,pronoun_ambiguity,Hindi,custom_annotated
308,"नेता और जनता बोले, उसने झूठ बोला।",उसने,unclear_leader_or_public,pronoun_ambiguity,Hindi,custom_annotated
309,"दादा और पोता आए, उसने मिठाई खाई।",उसने,unclear_grandfather_or_grandson,pronoun_ambiguity,Hindi,custom_annotated
310,"मालकिन ने नौकरानी को डाँटा, वह रो पड़ी।",वह,unclear_mistress_or_maid,pronoun_ambiguity,Hindi,custom_annotated
311,"कप्तान और खिलाड़ी थके, उसने आराम किया।",उसने,unclear_captain_or_player,pronoun_ambiguity,Hindi,custom_annotated
312,"बड़े भाई ने छोटे को समझाया, वह नहीं समझा।",वह,unclear_elder_or_younger,pronoun_ambiguity,Hindi,custom_annotated
313,"गुरु और शिष्य मिले, उसने प्रणाम किया।",उसने,unclear_guru_or_disciple,pronoun_ambiguity,Hindi,custom_annotated
314,"लेखक और पाठक मिले, उसने किताब दी।",उसने,unclear_writer_or_reader,pronoun_ambiguity,Hindi,custom_annotated
315,"माली ने मालिक को बताया, वह नाराज़ हुआ।",वह,unclear_gardener_or_owner,pronoun_ambiguity,Hindi,custom_annotated
316,"दोनों दोस्त मिले, उसने पहले बात की।",उसने,unclear_friend1_or_friend2,pronoun_ambiguity,Hindi,custom_annotated
317,"पुलिस और चोर दौड़े, वह पकड़ा गया।",वह,unclear_police_or_thief,pronoun_ambiguity,Hindi,custom_annotated
318,"छात्रा ने शिक्षिका से पूछा, वह मुस्कुराई।",वह,unclear_student_or_teacher,pronoun_ambiguity,Hindi,custom_annotated
319,"व्यापारी और ग्राहक मिले, उसने मोलभाव किया।",उसने,unclear_shopkeeper_or_customer,pronoun_ambiguity,Hindi,custom_annotated
320,"सास और बहू बोलीं, उसने चाय बनाई।",उसने,unclear_mother_or_daughter_in_law,pronoun_ambiguity,Hindi,custom_annotated
321,"दो नेता मिले, उसने प्रेस से बात की।",उसने,unclear_leader1_or_leader2,pronoun_ambiguity,Hindi,custom_annotated
322,"वाह! घंटों लगाए, एक लाइन लिखी।",वाह,sarcastic,sarcasm_ambiguity,Hindi,custom_annotated
323,क्या गज़ब का काम किया है तुमने!,गज़ब,sarcastic_bad,sarcasm_ambiguity,Hindi,custom_annotated
324,उसने गज़ब का प्रदर्शन किया मैच में।,गज़ब,genuine_amazing,sarcasm_ambiguity,Hindi,custom_annotated
325,बहुत ज़बरदस्त सोचा तुमने!,ज़बरदस्त,sarcastic,sarcasm_ambiguity,Hindi,custom_annotated
326,उसका ज़बरदस्त भाषण था।,ज़बरदस्त,genuinely_powerful,sarcasm_ambiguity,Hindi,custom_annotated
327,"हाँ, तुम्हीं सबसे बड़े विद्वान हो!",विद्वान,sarcastic,sarcasm_ambiguity,Hindi,custom_annotated
328,वह सच में बड़े विद्वान इंसान थे।,विद्वान,genuine,sarcasm_ambiguity,Hindi,custom_annotated
329,"बहुत बढ़िया किया, अब सब बर्बाद हुआ।",बढ़िया,sarcastic,sarcasm_ambiguity,Hindi,custom_annotated
330,उसने बढ़िया खाना बनाया।,बढ़िया,genuine_good,sarcasm_ambiguity,Hindi,custom_annotated
331,वाकई तुमने इतिहास रच दिया!,इतिहास रच दिया,sarcastic_failure,sarcasm_ambiguity,Hindi,custom_annotated
332,उसने इतिहास रच दिया खेल में।,इतिहास रच दिया,genuine_achievement,sarcasm_ambiguity,Hindi,custom_annotated
333,"तुम्हारी वजह से सब ठीक हो गया, शुक्रिया!",शुक्रिया,sarcastic_blame,sarcasm_ambiguity,Hindi,custom_annotated
334,तुम्हारी मदद के लिए शुक्रिया।,शुक्रिया,genuine_thanks,sarcasm_ambiguity,Hindi,custom_annotated
335,क्या ज़बरदस्त विचार है! बिल्कुल काम नहीं आएगा।,ज़बरदस्त विचार,sarcastic,sarcasm_ambiguity,Hindi,custom_annotated
336,तुम्हारा ज़बरदस्त विचार सच में काम आया।,ज़बरदस्त विचार,genuine,sarcasm_ambiguity,Hindi,custom_annotated
337,वह बहुत busy है हमेशा।,busy,occupied,hinglish_ambiguity,Hindi,custom_annotated
338,सड़क पर बहुत busy traffic था।,busy,heavy_traffic,hinglish_ambiguity,Hindi,custom_annotated
339,उसकी life बहुत simple है।,simple,uncomplicated_life,hinglish_ambiguity,Hindi,custom_annotated
340,यह simple सवाल है।,simple,easy_question,hinglish_ambiguity,Hindi,custom_annotated
341,वह बहुत serious इंसान है।,serious,stern_person,hinglish_ambiguity,Hindi,custom_annotated
342,यह बहुत serious मामला है।,serious,grave_matter,hinglish_ambiguity,Hindi,custom_annotated
343,उसका style बहुत unique है।,unique,distinctive_style,hinglish_ambiguity,Hindi,custom_annotated
344,यह problem बहुत unique है।,unique,unusual_problem,hinglish_ambiguity,Hindi,custom_annotated
345,वह बहुत positive सोचता है।,positive,optimistic,hinglish_ambiguity,Hindi,custom_annotated
346,test positive आया।,positive,medical_positive,hinglish_ambiguity,Hindi,custom_annotated
347,उसका plan बहुत creative है।,creative,innovative_plan,hinglish_ambiguity,Hindi,custom_annotated
348,वह बहुत creative इंसान है।,creative,artistic_person,hinglish_ambiguity,Hindi,custom_annotated
349,आज का session बहुत productive था।,productive,fruitful_session,hinglish_ambiguity,Hindi,custom_annotated
350,यह machine बहुत productive है।,productive,efficient_machine,hinglish_ambiguity,Hindi,custom_annotated
351,वह बहुत flexible है।,flexible,adaptable_person,hinglish_ambiguity,Hindi,custom_annotated
352,यह material बहुत flexible है।,flexible,physically_flexible,hinglish_ambiguity,Hindi,custom_annotated
353,उसका behaviour बहुत professional है।,professional,formal_behaviour,hinglish_ambiguity,Hindi,custom_annotated
354,वह professional photographer है।,professional,occupation,hinglish_ambiguity,Hindi,custom_annotated
355,यह game बहुत addictive है।,addictive,engaging_game,hinglish_ambiguity,Hindi,custom_annotated
356,यह substance बहुत addictive है।,addictive,habit_forming,hinglish_ambiguity,Hindi,custom_annotated
357,उसने अपना उल्लू सीधा किया।,उल्लू सीधा किया,selfish_motive_idiom,idiom_ambiguity,Hindi,custom_annotated
358,उसने पेड़ पर उल्लू को देखा।,उल्लू,owl_literally,idiom_ambiguity,Hindi,custom_annotated
359,उसने घाव पर नमक छिड़का।,नमक छिड़का,added_to_pain_idiom,idiom_ambiguity,Hindi,custom_annotated
360,उसने सब्ज़ी पर नमक छिड़का।,नमक छिड़का,added_salt_literally,idiom_ambiguity,Hindi,custom_annotated
361,वह पाँव पर कुल्हाड़ी मारता है।,पाँव पर कुल्हाड़ी,self_harm_idiom,idiom_ambiguity,Hindi,custom_annotated
362,मज़दूर ने कुल्हाड़ी उठाई।,कुल्हाड़ी,axe_literally,idiom_ambiguity,Hindi,custom_annotated
363,उसने रोटी तोड़ी उनके साथ।,रोटी तोड़ी,shared_meal_idiom,idiom_ambiguity,Hindi,custom_annotated
364,माँ ने रोटी तोड़कर दी।,रोटी तोड़ी,broke_bread_literally,idiom_ambiguity,Hindi,custom_annotated
365,वह आग में घी डाल रहा है।,आग में घी,aggravating_idiom,idiom_ambiguity,Hindi,custom_annotated
366,रसोई में आग पर घी रखा।,आग पर घी,cooking_literally,idiom_ambiguity,Hindi,custom_annotated
367,वह अँगूठा दिखा गया।,अँगूठा दिखा,refused_rudely_idiom,idiom_ambiguity,Hindi,custom_annotated
368,उसने अपना अँगूठा दिखाया।,अँगूठा दिखाया,showed_thumb_literally,idiom_ambiguity,Hindi,custom_annotated
369,वह दूध का धुला नहीं है।,दूध का धुला,not_innocent_idiom,idiom_ambiguity,Hindi,custom_annotated
370,कपड़ा दूध में धुला।,दूध में धुला,washed_in_milk_literally,idiom_ambiguity,Hindi,custom_annotated
371,उसने अपनी खिचड़ी अलग पकाई।,खिचड़ी अलग पकाई,acted_independently_idiom,idiom_ambiguity,Hindi,custom_annotated
372,माँ ने खिचड़ी पकाई।,खिचड़ी पकाई,cooked_khichdi_literally,idiom_ambiguity,Hindi,custom_annotated
373,वह छाती ठोककर बोला।,छाती ठोककर,confident_boast_idiom,idiom_ambiguity,Hindi,custom_annotated
374,उसने छाती पर हाथ रखा।,छाती पर हाथ,hand_on_chest_literally,idiom_ambiguity,Hindi,custom_annotated
375,उसके हाथ-पाँव फूल गए।,हाथ-पाँव फूल गए,got_nervous_idiom,idiom_ambiguity,Hindi,custom_annotated
376,उसके हाथ-पाँव में सूजन आई।,हाथ-पाँव,swelling_literally,idiom_ambiguity,Hindi,custom_annotated
377,यहाँ बहुत गर्मी है।,गर्मी है,observation,pragmatic_ambiguity,Hindi,custom_annotated
378,यहाँ बहुत गर्मी है।,गर्मी है,request_to_turn_on_fan,pragmatic_ambiguity,Hindi,custom_annotated
379,मुझे प्यास लग रही है।,प्यास लग रही,stating_thirst,pragmatic_ambiguity,Hindi,custom_annotated
380,मुझे प्यास लग रही है।,प्यास लग रही,request_for_water,pragmatic_ambiguity,Hindi,custom_annotated
381,दरवाज़ा खुला है।,दरवाज़ा खुला,factual_statement,pragmatic_ambiguity,Hindi,custom_annotated
382,दरवाज़ा खुला है।,दरवाज़ा खुला,warning_about_security,pragmatic_ambiguity,Hindi,custom_annotated
383,कमरे में अँधेरा है।,अँधेरा है,stating_fact,pragmatic_ambiguity,Hindi,custom_annotated
384,कमरे में अँधेरा है।,अँधेरा है,request_to_turn_on_light,pragmatic_ambiguity,Hindi,custom_annotated
385,बारिश हो रही है।,बारिश हो रही,weather_update,pragmatic_ambiguity,Hindi,custom_annotated
386,बारिश हो रही है।,बारिश हो रही,warning_dont_go_out,pragmatic_ambiguity,Hindi,custom_annotated
387,खाना ठंडा हो गया।,ठंडा हो गया,food_is_cold,pragmatic_ambiguity,Hindi,custom_annotated
388,खाना ठंडा हो गया।,ठंडा हो गया,request_to_reheat,pragmatic_ambiguity,Hindi,custom_annotated
389,बहुत देर हो गई।,देर हो गई,it_is_late,pragmatic_ambiguity,Hindi,custom_annotated
390,बहुत देर हो गई।,देर हो गई,hurry_up_request,pragmatic_ambiguity,Hindi,custom_annotated
391,फोन की बैटरी कम है।,बैटरी कम है,observation,pragmatic_ambiguity,Hindi,custom_annotated
392,फोन की बैटरी कम है।,बैटरी कम है,request_for_charger,pragmatic_ambiguity,Hindi,custom_annotated
393,सड़क पर भीड़ है।,भीड़ है,traffic_observation,pragmatic_ambiguity,Hindi,custom_annotated
394,सड़क पर भीड़ है।,भीड़ है,warning_to_take_another_route,pragmatic_ambiguity,Hindi,custom_annotated
395,बच्चा बीमार है।,बीमार है,health_statement,pragmatic_ambiguity,Hindi,custom_annotated
396,बच्चा बीमार है।,बीमार है,request_to_see_doctor,pragmatic_ambiguity,Hindi,custom_annotated
397,मोबाइल का नेटवर्क नहीं है।,नेटवर्क नहीं,network_issue,pragmatic_ambiguity,Hindi,custom_annotated
398,मोबाइल का नेटवर्क नहीं है।,नेटवर्क नहीं,cant_call,pragmatic_ambiguity,Hindi,custom_annotated
399,रास्ता लंबा है।,रास्ता लंबा,distance_fact,pragmatic_ambiguity,Hindi,custom_annotated
400,रास्ता लंबा है।,रास्ता लंबा,suggestion_for_shortcut,pragmatic_ambiguity,Hindi,custom_annotated
401,यह काम आसान नहीं है।,आसान नहीं,difficulty_statement,pragmatic_ambiguity,Hindi,custom_annotated
402,यह काम आसान नहीं है।,आसान नहीं,request_for_help,pragmatic_ambiguity,Hindi,custom_annotated
403,घड़ी बंद हो गई।,घड़ी बंद,watch_stopped,pragmatic_ambiguity,Hindi,custom_annotated
404,घड़ी बंद हो गई।,घड़ी बंद,need_new_battery,pragmatic_ambiguity,Hindi,custom_annotated
405,बाज़ार दूर है।,बाज़ार दूर,distance_fact,pragmatic_ambiguity,Hindi,custom_annotated
406,बाज़ार दूर है।,बाज़ार दूर,request_for_ride,pragmatic_ambiguity,Hindi,custom_annotated
407,उसने तेज़ चाकू से रोटी काटी।,तेज़ चाकू से,sharp_knife,syntactic_ambiguity,Hindi,custom_annotated
408,उसने तेज़ चाकू से रोटी काटी।,तेज़ चाकू से,quickly_with_knife,syntactic_ambiguity,Hindi,custom_annotated
409,नीली कार वाले आदमी को बुलाओ।,नीली कार वाले,man_with_blue_car,syntactic_ambiguity,Hindi,custom_annotated
410,नीली कार वाले आदमी को बुलाओ।,नीली कार वाले,blue_car_man_meaning,syntactic_ambiguity,Hindi,custom_annotated
411,वह बड़े प्यार से बोला।,बड़े प्यार से,with_great_love,syntactic_ambiguity,Hindi,custom_annotated
412,पुराने दोस्त की बात मानो।,पुराने दोस्त की,advice_of_old_friend,syntactic_ambiguity,Hindi,custom_annotated
413,पुराने दोस्त की बात मानो।,पुराने दोस्त की,old_person_friend,syntactic_ambiguity,Hindi,custom_annotated
414,उसने गाते हुए खाना बनाया।,गाते हुए,she_was_singing,syntactic_ambiguity,Hindi,custom_annotated
415,छोटे बच्चों की किताबें लाओ।,छोटे बच्चों की,books_for_small_children,syntactic_ambiguity,Hindi,custom_annotated
416,छोटे बच्चों की किताबें लाओ।,छोटे बच्चों की,small_books_of_children,syntactic_ambiguity,Hindi,custom_annotated
417,उसने रोते हुए बच्चे को देखा।,रोते हुए,child_was_crying,syntactic_ambiguity,Hindi,custom_annotated
418,उसने रोते हुए बच्चे को देखा।,रोते हुए,he_was_crying,syntactic_ambiguity,Hindi,custom_annotated
419,लाल साड़ी वाली औरत आई।,लाल साड़ी वाली,woman_in_red_saree,syntactic_ambiguity,Hindi,custom_annotated
420,ठंडे दूध की चाय बनाओ।,ठंडे दूध की,tea_with_cold_milk,syntactic_ambiguity,Hindi,custom_annotated
421,उसने हँसते हुए जवाब दिया।,हँसते हुए,he_was_smiling,syntactic_ambiguity,Hindi,custom_annotated
422,उसने लाल रंग की पोशाक पहनी।,लाल,red_color,morphological_ambiguity,Hindi,custom_annotated
423,लाल जी कल आए थे।,लाल,person_name_lal,morphological_ambiguity,Hindi,custom_annotated
424,वह लाल हो गया गुस्से में।,लाल,became_red_face,morphological_ambiguity,Hindi,custom_annotated
425,हाथी बहुत बड़ा जानवर है।,हाथी,elephant_animal,morphological_ambiguity,Hindi,custom_annotated
426,हाथी जैसी चाल मत चलो।,हाथी,slow_gait_comparison,morphological_ambiguity,Hindi,custom_annotated
427,उसकी आँखें हिरन जैसी हैं।,हिरन,deer_comparison,morphological_ambiguity,Hindi,custom_annotated
428,जंगल में हिरन देखा।,हिरन,deer_animal,morphological_ambiguity,Hindi,custom_annotated
429,उसने गुलाब दिया।,गुलाब,rose_flower,morphological_ambiguity,Hindi,custom_annotated
430,गुलाब साहब आए हैं।,गुलाब,person_name_gulab,morphological_ambiguity,Hindi,custom_annotated
431,मोर बहुत सुंदर पक्षी है।,मोर,peacock,morphological_ambiguity,Hindi,custom_annotated
432,मोर की तरह नाच रहा है।,मोर,dancing_like_peacock,morphological_ambiguity,Hindi,custom_annotated
433,उसने चाँदी का गहना पहना।,चाँदी,silver_metal,morphological_ambiguity,Hindi,custom_annotated
434,उसकी आवाज़ चाँदी जैसी है।,चाँदी,silver_voice_comparison,morphological_ambiguity,Hindi,custom_annotated
435,कमल का फूल खिला।,कमल,lotus_flower,morphological_ambiguity,Hindi,custom_annotated
436,कमल ने अच्छा काम किया।,कमल,person_name_kamal,morphological_ambiguity,Hindi,custom_annotated
437,वह कमल जैसा शुद्ध है।,कमल,pure_like_lotus,morphological_ambiguity,Hindi,custom_annotated
438,उसने सरसों का तेल लिया।,सरसों,mustard,morphological_ambiguity,Hindi,custom_annotated
439,वह सरसों के खेत में था।,सरसों,mustard_field,morphological_ambiguity,Hindi,custom_annotated
440,उसके बाल घुंघराले हैं।,बाल,hair_curly,morphological_ambiguity,Hindi,custom_annotated
441,बाल साहित्य पढ़ना चाहिए।,बाल,children_literature,morphological_ambiguity,Hindi,custom_annotated
442,बाल दिवस कब है?,बाल,children_day,morphological_ambiguity,Hindi,custom_annotated
443,उसके सफ़ेद बाल हो गए।,बाल,white_hair,morphological_ambiguity,Hindi,custom_annotated
444,पानी वाला बर्तन लाओ।,पानी,water,morphological_ambiguity,Hindi,custom_annotated
445,पानी जैसे लोग कहीं नहीं।,पानी,water_comparison_idiom,morphological_ambiguity,Hindi,custom_annotated
446,उसने रात को तारे देखे।,तारे,stars,morphological_ambiguity,Hindi,custom_annotated
447,तारे जैसे चमकते हो तुम।,तारे,celebrity_stars,morphological_ambiguity,Hindi,custom_annotated
448,फिल्म के तारे आए।,तारे,film_stars,morphological_ambiguity,Hindi,custom_annotated
449,कल की चिंता मत करो।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
450,कल जो हुआ वो भुला दो।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
451,कल पढ़ाई करनी थी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
452,कल पढ़ाई करनी है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
453,कल मैच था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
454,कल मैच है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
455,कल खाना अच्छा था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
456,कल खाना अच्छा होगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
457,कल से काम बंद था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
458,कल से काम बंद रहेगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
459,"अभी सोचो, कल मत सोचो।",कल,tomorrow,time_ambiguity,Hindi,custom_annotated
460,जो कल हुआ उसे भूलो।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
461,परसों तक वापस आ जाओ।,परसों,day_after_tomorrow,time_ambiguity,Hindi,custom_annotated
462,परसों बहुत अच्छा दिन था।,परसों,day_before_yesterday,time_ambiguity,Hindi,custom_annotated
463,"अभी नहीं, बाद में करेंगे।",अभी,right_now,time_ambiguity,Hindi,custom_annotated
464,अभी बहुत ज़रूरी है।,अभी,urgently_now,time_ambiguity,Hindi,custom_annotated
465,वह अभी आया है।,अभी,just_now,time_ambiguity,Hindi,custom_annotated
466,कल होली है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
467,कल होली थी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
468,कल दीवाली मनाई।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
469,कल दीवाली मनाएंगे।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
470,परसों रक्षाबंधन है।,परसों,day_after_tomorrow,time_ambiguity,Hindi,custom_annotated
471,परसों रक्षाबंधन था।,परसों,day_before_yesterday,time_ambiguity,Hindi,custom_annotated
472,अभी खाना खा लो।,अभी,right_now,time_ambiguity,Hindi,custom_annotated
473,अभी-अभी बिजली गई।,अभी,just_now,time_ambiguity,Hindi,custom_annotated
474,कल से व्रत रखूंगी।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
475,कल से व्रत रखा था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
476,कल रात ख़्वाब आया।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
477,कल रात ख़्वाब आएगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
478,अभी तो खेलो।,अभी,right_now,time_ambiguity,Hindi,custom_annotated
479,वह रात भर पढ़ता रहा।,पढ़ता,studying,object_action_ambiguity,Hindi,custom_annotated
480,वह किताब पढ़ रहा है।,पढ़,reading,object_action_ambiguity,Hindi,custom_annotated
481,बच्चे को खाना खिलाओ।,खाना,food,object_action_ambiguity,Hindi,custom_annotated
482,उसे अभी कुछ खाना है।,खाना,to_eat,object_action_ambiguity,Hindi,custom_annotated
483,घर पर खाना बना।,खाना,food_cooked,object_action_ambiguity,Hindi,custom_annotated
484,वह लिखना जानता है।,लिखना,to_write,object_action_ambiguity,Hindi,custom_annotated
485,परीक्षा में जल्दी लिखना होगा।,लिखना,write_fast,object_action_ambiguity,Hindi,custom_annotated
486,पत्र लिखना ज़रूरी है।,लिखना,to_write_letter,object_action_ambiguity,Hindi,custom_annotated
487,वह रोज़ सोना चाहता है।,सोना,sleep_daily,object_action_ambiguity,Hindi,custom_annotated
488,घर में सोना रखा है।,सोना,gold_at_home,object_action_ambiguity,Hindi,custom_annotated
489,सोने के दाम आसमान छू रहे हैं।,सोने,gold_prices,object_action_ambiguity,Hindi,custom_annotated
490,रात को जल्दी सोने जाओ।,सोने,go_to_sleep,object_action_ambiguity,Hindi,custom_annotated
491,वह गाना गाना जानता है।,गाना,to_sing,object_action_ambiguity,Hindi,custom_annotated
492,गाना बहुत अच्छा था।,गाना,song,object_action_ambiguity,Hindi,custom_annotated
493,नया गाना सुनो।,गाना,song_listen,object_action_ambiguity,Hindi,custom_annotated
494,वह गाना गाता है।,गाना,singing,object_action_ambiguity,Hindi,custom_annotated
495,घड़ी बनाना उसका काम है।,बनाना,to_make,object_action_ambiguity,Hindi,custom_annotated
496,बनाना फल मीठा होता है।,बनाना,banana_fruit,object_action_ambiguity,Hindi,custom_annotated
497,खाना बनाना सीखो।,बनाना,to_cook,object_action_ambiguity,Hindi,custom_annotated
498,घर बनाना महंगा है।,बनाना,to_build,object_action_ambiguity,Hindi,custom_annotated
499,दौड़ना अच्छा व्यायाम है।,दौड़ना,running_exercise,object_action_ambiguity,Hindi,custom_annotated
500,वह दौड़ना चाहता है।,दौड़ना,wants_to_run,object_action_ambiguity,Hindi,custom_annotated
501,तैरना सीखो।,तैरना,learn_swimming,object_action_ambiguity,Hindi,custom_annotated
502,नदी में तैरना ख़तरनाक है।,तैरना,swimming_dangerous,object_action_ambiguity,Hindi,custom_annotated
503,उड़ना पक्षी का काम है।,उड़ना,flying_birds,object_action_ambiguity,Hindi,custom_annotated
504,वह उड़ना चाहता है।,उड़ना,wants_to_fly,object_action_ambiguity,Hindi,custom_annotated
505,बोलना सीखो पहले।,बोलना,learn_to_speak,object_action_ambiguity,Hindi,custom_annotated
506,बोलना उसकी कमज़ोरी है।,बोलना,speaking_weakness,object_action_ambiguity,Hindi,custom_annotated
507,सुनना ज़रूरी है।,सुनना,listening_important,object_action_ambiguity,Hindi,custom_annotated
508,संगीत सुनना पसंद है।,सुनना,listen_to_music,object_action_ambiguity,Hindi,custom_annotated
509,"पड़ोसी और दोस्त आए, उसने चाय पिलाई।",उसने,unclear_neighbour_or_friend,pronoun_ambiguity,Hindi,custom_annotated
510,"ड्राइवर और मालिक निकले, वह गाड़ी चला रहा था।",वह,unclear_driver_or_owner,pronoun_ambiguity,Hindi,custom_annotated
511,"दोनों बहनें आईं, उसने खाना बनाया।",उसने,unclear_sister1_or_sister2,pronoun_ambiguity,Hindi,custom_annotated
512,"मेहमान और मेज़बान मिले, वह खुश था।",वह,unclear_guest_or_host,pronoun_ambiguity,Hindi,custom_annotated
513,"लेखिका ने पाठिका को पत्र लिखा, उसने पढ़ा।",उसने,unclear_writer_or_reader,pronoun_ambiguity,Hindi,custom_annotated
514,"बाप और बेटे झगड़े, वह रोने लगा।",वह,unclear_father_or_son,pronoun_ambiguity,Hindi,custom_annotated
515,"जज और वकील बोले, उसने सच कहा।",उसने,unclear_judge_or_lawyer,pronoun_ambiguity,Hindi,custom_annotated
516,"दुकानदार और खरीदार आए, उसने सौदा किया।",उसने,unclear_shopkeeper_or_buyer,pronoun_ambiguity,Hindi,custom_annotated
517,"गायक और श्रोता मिले, वह भावुक हो गया।",वह,unclear_singer_or_listener,pronoun_ambiguity,Hindi,custom_annotated
